room_name,qty,area_sf,department
Classroom,8,850,CORE ACADEMIC
Science Lab,4,1100,CORE ACADEMIC
Resource Room,3,700,SPECIAL EDUCATION
Gymnasium,1,7500,HEALTH & PHYSICAL EDUCATION
Fitness Room,1,1800,HEALTH & PHYSICAL EDUCATION
PE Storage,1,400,HEALTH & PHYSICAL EDUCATION
Cafeteria,1,3200,DINING & FOOD SERVICE
Kitchen,1,1400,DINING & FOOD SERVICE
Media Center,1,2800,MEDIA CENTER
Art Room,2,900,ART & MUSIC
Band Room,1,1600,ART & MUSIC
Admin Office,1,1600,ADMINISTRATION & GUIDANCE
Counseling,1,600,ADMINISTRATION & GUIDANCE
Nurse Suite,1,450,MEDICAL
Custodial Shop,1,900,CUSTODIAL & MAINTENANCE
